"","Country","Category","Year","n_3","n_2","n_1","n_0"
"332","bulgaria","FA",1998,0,0,0,0
"333","bulgaria","FA",1999,0,0,0,0
"334","bulgaria","FA",2000,1,0,0,0
"335","bulgaria","FA",2001,1,1,0,0
"336","bulgaria","FA",2002,2,1,1,0
"337","bulgaria","FA",2003,3,2,1,1
"338","bulgaria","FA",2004,6,3,2,0
"339","bulgaria","FA",2005,7,6,2,1
"340","bulgaria","FA",2006,8,6,5,1
"341","bulgaria","FA",2007,7,7,5,3
"342","bulgaria","FA",2008,7,6,5,1
"343","bulgaria","FA",2009,7,5,2,1
"344","bulgaria","FA",2010,9,3,1,0
"345","bulgaria","FA",2011,7,5,1,0
"346","bulgaria","FA",2012,8,5,4,1
"347","bulgaria","FA",2013,7,7,5,3
"348","bulgaria","FA",2014,8,7,6,1
"349","bulgaria","FA",2015,10,7,3,2
"350","bulgaria","FA",2016,10,6,3,0
"351","bulgaria","FA",2017,8,6,3,1
"352","bulgaria","FA",2018,7,5,4,2
"353","bulgaria","FA",2019,5,5,4,1
"354","bulgaria","FA",2020,6,4,2,1
"355","bulgaria","FA",2021,5,3,1,0
"356","bulgaria","FA",2022,3,2,1,0
"357","bulgaria","FA",2023,2,1,1,1
"358","bulgaria","FA",2024,1,1,1,0
"359","bulgaria","FA",2025,1,1,0,0
"360","bulgaria","FA",2026,1,0,0,0
"361","bulgaria","Other",1992,0,0,0,0
"362","bulgaria","Other",1993,0,0,0,0
"363","bulgaria","Other",1994,0,0,0,0
"364","bulgaria","Other",1995,0,0,0,0
"365","bulgaria","Other",1996,0,0,0,0
"366","bulgaria","Other",1997,0,0,0,0
"367","bulgaria","Other",1998,0,0,0,0
"368","bulgaria","Other",1999,0,0,0,0
"369","bulgaria","Other",2000,0,0,0,0
"370","bulgaria","Other",2001,0,0,0,0
"371","bulgaria","Other",2002,0,0,0,0
"372","bulgaria","Other",2003,0,0,0,0
"373","bulgaria","Other",2004,6,0,0,0
"374","bulgaria","Other",2005,6,6,0,0
"375","bulgaria","Other",2006,7,6,6,0
"376","bulgaria","Other",2007,7,7,6,6
"377","bulgaria","Other",2008,7,7,7,0
"378","bulgaria","Other",2009,7,7,1,1
"379","bulgaria","Other",2010,7,1,1,0
"380","bulgaria","Other",2011,1,1,0,0
"381","bulgaria","Other",2012,1,0,0,0
"382","bulgaria","Other",2013,2,0,0,0
"383","bulgaria","Other",2014,2,2,0,0
"384","bulgaria","Other",2015,4,2,2,0
"385","bulgaria","Other",2016,5,4,2,2
"386","bulgaria","Other",2017,5,5,4,0
"387","bulgaria","Other",2018,5,5,3,2
"388","bulgaria","Other",2019,6,3,3,1
"389","bulgaria","Other",2020,4,4,1,0
"390","bulgaria","Other",2021,5,2,1,0
"391","bulgaria","Other",2022,4,2,1,1
"392","bulgaria","Other",2023,3,3,2,0
"393","bulgaria","Other",2024,3,3,2,1
"394","bulgaria","Other",2025,3,2,2,1
"395","bulgaria","Other",2026,2,2,1,0
"396","bulgaria","Tax",1992,0,0,0,0
"397","bulgaria","Tax",1993,0,0,0,0
"398","bulgaria","Tax",1994,1,0,0,0
"399","bulgaria","Tax",1995,2,1,0,0
"400","bulgaria","Tax",1996,2,2,1,0
"401","bulgaria","Tax",1997,2,2,2,1
"402","bulgaria","Tax",1998,3,2,2,1
"403","bulgaria","Tax",1999,4,3,1,0
"404","bulgaria","Tax",2000,5,3,1,0
"405","bulgaria","Tax",2001,5,3,2,1
"406","bulgaria","Tax",2002,5,4,3,1
"407","bulgaria","Tax",2003,5,5,3,1
"408","bulgaria","Tax",2004,6,4,3,1
"409","bulgaria","Tax",2005,6,4,2,1
"410","bulgaria","Tax",2006,5,4,2,0
"411","bulgaria","Tax",2007,4,3,2,1
"412","bulgaria","Tax",2008,3,2,2,1
"413","bulgaria","Tax",2009,3,2,1,0
"414","bulgaria","Tax",2010,3,2,0,0
"415","bulgaria","Tax",2011,2,1,1,0
"416","bulgaria","Tax",2012,1,1,1,1
"417","bulgaria","Tax",2013,1,1,1,0
"418","bulgaria","Tax",2014,2,1,0,0
"419","bulgaria","Tax",2015,2,1,0,0
"420","bulgaria","Tax",2016,2,1,1,0
"421","bulgaria","Tax",2017,2,2,1,1
"422","bulgaria","Tax",2018,2,2,2,0
"423","bulgaria","Tax",2019,2,2,1,1
"424","bulgaria","Tax",2020,3,1,1,0
"425","bulgaria","Tax",2021,3,2,0,0
"426","bulgaria","Tax",2022,3,2,1,0
"427","bulgaria","Tax",2023,2,2,2,1
"428","bulgaria","Tax",2024,2,2,2,1
"429","bulgaria","Tax",2025,2,2,1,0
"430","bulgaria","Tax",2026,2,1,0,0
"431","bulgaria","Other",2027,2,1,NA,NA
"432","bulgaria","Tax",2027,1,NA,NA,NA
